33.2 8.33 12.83 378.0 35.8 4.2 5.18 0.017
32.6 8.11 8.48 384.9 32.7 3.9 5.16 0.021
32.6 8.21 9.21 389.2 21.5 4.7 5.43 0.023
34.2 8.93 14.23 394.2 33.8 3.1 5.22 0.01
33.8 8.77 12.9 399.9 34.7 2.9 5.3 0.008
33.1 8.68 11.84 404.6 19.5 2.8 5.31 0.01
32.9 8.64 10.56 413.2 15.3 3.2 5.46 0.035
33.9 8.8 12.45 412.3 15.5 4.2 5.14 0.02
34.0 9.02 14.45 403.5 18.1 3.3 5.42 0.015
34.9 8.98 14.08 382.8 20.0 3.0 5.27 0.008
34.2 8.83 12.34 379.7 15.5 2.9 5.22 0.007
33.4 8.57 12.28 390.2 14.6 2.9 5.22 0.011
33.2 8.57 11.8 399.2 15.8 3.3 5.47 0.011
33.8 8.94 13.53 400.5 19.3 3.9 5.39 0.006
34.2 8.97 13.04 398.2 22.5 4.7 5.33 0.007
34.8 9.05 14.34 377.6 22.2 3.1 5.34 0.007
34.2 8.93 14.26 372.9 24.9 2.9 5.38 0.003
33.4 8.72 12.64 379.8 20.3 2.8 5.38 0.008
33.3 8.68 12.71 390.2 25.6 3.2 5.52 0.009
34.3 9.1 14.93 390.6 23.8 4.2 5.57 0.009
33.8 8.79 12.89 402.3 24.0 3.3 5.46 0.01
32.6 8.23 9.66 429.9 24.0 3.0 5.59 0.024
31.8 7.69 7.31 445.1 24.2 2.9 5.46 0.031
23.8 7.84 7.38 688.2 17.7 5.0 2.64 0.025
23.6 8.04 8.64 688.7 14.9 4.8 2.73 0.019
23.5 7.95 8.23 689.3 14.0 4.7 2.75 0.031
23.7 8.21 9.62 688.4 14.5 6.1 3.0 0.02
24.1 8.32 10.07 687.8 13.6 5.3 2.76 0.024
24.3 8.71 12.31 675.0 16.5 6.8 2.93 0.031
23.6 8.03 9.05 685.5 17.7 6.3 2.96 0.022
23.4 7.9 7.77 690.9 15.0 4.5 2.81 0.016
23.2 7.8 7.05 693.2 14.3 4.3 2.75 0.026
23.4 7.99 8.22 692.5 15.3 5.1 2.89 0.016
23.6 7.94 7.9 691.6 15.1 4.4 2.64 0.017
23.5 7.86 7.34 691.1 13.6 4.3 2.63 0.018
23.1 7.86 7.36 692.0 15.0 4.2 2.63 0.016
22.9 8.01 8.1 691.3 15.3 4.2 2.69 0.019
22.8 8.21 9.11 688.3 15.9 4.2 2.67 0.017
23.7 8.53 10.82 687.5 11.8 5.1 2.79 0.038
24.3 8.86 12.73 676.0 17.6 8.2 2.95 0.029
23.6 8.72 11.77 680.1 17.4 5.9 2.77 0.029
23.0 8.56 10.7 684.3 20.1 5.7 2.74 0.021
22.4 8.44 9.99 686.0 18.2 5.2 2.71 0.022
21.7 8.26 8.99 688.1 16.7 4.8 2.72 0.024
22.6 8.5 10.64 688.5 16.3 6.2 2.95 0.024
24.1 8.93 12.86 678.7 15.5 6.1 2.65 0.021
23.5 8.97 13.34 673.6 16.2 6.0 2.67 0.018
