ES_train: RMSE=0.03461253072159362, R2=0.9035618901252747, MAE=0.02520475536584854
9999: RMSE=0.03661017891033347, R2=0.9094846248626709, MAE=0.02471962198615074
ES_train: RMSE=0.03235318853579686, R2=0.9200706481933594, MAE=0.02322998084127903
9999: RMSE=0.036665723943873504, R2=0.8896851539611816, MAE=0.026177115738391876
ES_train: RMSE=0.032794480044726196, R2=0.9158788919448853, MAE=0.02360822632908821
9999: RMSE=0.03503597234997609, R2=0.908534049987793, MAE=0.02498452551662922
0.0360 0.0010
0.9025 0.0129
0.0252 0.0009
